	GEOID	CRIME_RATE
274	12085	202.748513612
275	12086	246.76345933
276	12087	243.725368181
277	12089	71.7837612081
278	12091	283.952125061
279	12093	344.836394288
280	12095	443.016406212
281	12097	221.139804843
282	12099	145.523749562
283	12101	229.946160455
284	12103	92.954041049
285	12105	194.914266086
286	12107	453.266429175
287	12109	196.862136849
288	12111	82.1226823536
289	12113	134.008884973
290	12115	131.498732876
291	12117	125.645174412
292	12119	135.548753826
293	12121	333.923947117
294	12123	349.836152688
295	12125	302.830809743
296	12127	137.331512755
297	12129	273.606515653
298	12131	321.794246709
299	12133	139.053617439
300	13009	411.683983533
301	13011	71.057666029
302	13015	322.403082488
303	13017	62.9867155291
304	13019	42.7807486631
305	13023	125.048847206
306	13025	168.32274529
307	13027	77.8311064989
308	13029	112.074559075
309	13031	52.7140815958
310	13033	312.651371703
311	13035	166.894899007
312	13039	107.636419551
313	13045	119.201002691
314	13047	117.340485515
315	13049	62.029929441
316	13053	0.0
317	13055	128.313083925
318	13057	55.8477823235
319	13059	3.30747986572
320	13063	5.60659634749
321	13065	146.391450739
322	13067	0.0
323	13069	126.135806218
324	13073	47.3943859196
325	13075	17.4276751481
326	13077	95.1530932132
327	13079	96.8757568419
328	13081	47.9637219848
329	13083	665.080236744
330	13085	91.4753669905
331	13087	154.298310066
332	13089	0.0
333	13091	138.2532418
334	13093	56.3856780378
335	13095	2.16433819949
336	13097	137.631867182
337	13099	247.831474597
338	13101	99.9250562078
339	13103	59.5420673728
340	13105	123.469492746
341	13107	48.3410239508
342	13109	45.8799779776
343	13111	84.1998905401
344	13113	40.1225561716
345	13115	17.6967198609
346	13117	52.3734471518
347	13119	22.4577793748
348	13121	0.301108379947
349	13123	263.623434736
350	13125	32.7546675401
351	13129	199.832283619
352	13131	102.527702196
353	13133	48.5142510612
354	13137	73.1395136222
355	13139	92.7862613427
356	13143	488.809748263
357	13145	27.3755931379
358	13147	256.137447295
359	13149	129.276911144
360	13153	42.9210453957
361	13155	109.841827768
362	13157	93.7449490868
363	13159	282.906491959
